[0409/123119.863:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0409/123313.654:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0420/123854.166:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0503/095836.030:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0523/170715.724:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0526/172122.076:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0526/180708.693:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0526/213416.453:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0526/213556.115:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0527/093620.196:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0617/173032.814:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0617/195135.381:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0618/112933.154:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0618/171219.068:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
[0618/172149.228:ERROR:file_io.cc(89)] ReadExactly: expected 36, observed 0
